surah_num,ayah_num,ayah_txt,clean_txt,surah_name
2,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنْتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,تكفرون بالله وكنتم امواتا فاحياكم  يميتكم يحييكم ترجعون كفر الله وكن امواتا فاحياكم  يم أحيا رجع,البقرة
2,29,هُوَ الَّذِي خَلَقَ لَكُمْ مَا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,خلق الارض جميعا استوي السماء سماوات  شيء عليم خلق الارض جميع استوى سماء سماوات  شيء عليم,البقرة
2,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَنْ يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,قال ربك للملائكه جاعل الارض خليفه  قالوا اتجعل يفسد ويسفك الدماء نسبح بحمدك ونقدس  قال تعلمون قال رب للملائكه جاعل الارض خليف  قال اتجعل فسد سفك دماء سبح حمد قدس  قال علم,البقرة
2,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِنْ كُنْتُمْ صَادِقِينَ,وعلم ادم الاسماء عرضهم الملائكه فقال انبئوني باسماء كنتم صادقين علم دمي الاسماء عرض الملائكه قال انبئوني باسماء كنتم صادق,البقرة
2,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنْتَ الْعَلِيمُ الْحَكِيمُ,قالوا علمتنا  العليم الحكيم قال علم  عليم حكيم,البقرة
2,33,قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنْبَأَهُمْ بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُلْ لَكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ,قال ادم انبئهم باسمائهم  انباهم باسمائهم قال غيب السماوات والارض واعلم تبدون كنتم تكتمون قال دمي انبئهم باسمائهم  انباهم باسمائهم قال غيب سماوات والارض علم أبدى كنتم كتم,البقرة
2,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,قلنا للملائكه اسجدوا لادم فسجدوا ابليس واستكبر الكافرين قل للملائكه سجد لادم سجد ابليس استكبر كافر,البقرة
2,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,وقلنا ادم وزوجك الجنه رغدا شئتما تقربا الشجره فتكونا الظالمين قل دمي زوج لجن رغد شاء تقرب الشجره تكون ظالم,البقرة
2,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,فازلهما الشيطان فاخرجهما كانا  وقلنا اهبطوا عدو  الارض مستقر ومتاع فازلهما شيطان فاخرجهما كان  قل هبط عدو  الارض مستقر متاع,البقرة
2,37,فَتَلَقَّىٰ آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,فتلقي ادم ربه كلمات فتاب  التواب الرحيم ألقى دمي رب لمة تاب  تواب رحيم,البقرة
2,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُمْ مِنِّي هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,قلنا اهبطوا جميعا  ياتينكم هدي تبع هداي خوف يحزنون قل هبط جميع  ياتينكم هدي باع هد خوف حزن,البقرة
2,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,كفروا وكذبوا باياتنا اصحاب النار  خالدون كفر كذب باي اصحاب نار  خالد,البقرة
2,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,بني اسرائيل اذكروا نعمتي انعمت واوفوا بعهدي اوف بعهدكم فارهبون بن اسرائيل ذكر نعم انعمت واوفوا عهد اوف عهد فارهبون,البقرة
2,41,وَآمِنُوا بِمَا أَنْزَلْتُ مُصَدِّقًا لِمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,وامنوا انزلت مصدقا تكونوا كافر  تشتروا باياتي ثمنا قليلا فاتقون منا انزلت مصدق تكون كافر  شتر باي ثمن قليل فاتق,البقرة
2,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنْتُمْ تَعْلَمُونَ,تلبسوا الحق بالباطل وتكتموا الحق تعلمون لبس حق باطل كتم حق علم,البقرة
2,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,واقيموا الصلاه واتوا الزكاه واركعوا الراكعين واقيموا الصلاه واتوا الزكاه ركع راكع,البقرة
2,44,أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ أَنْفُسَكُمْ وَأَنْتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,اتامرون الناس بالبر وتنسون تتلون الكتاب  تعقلون اتامرون ناس بر نسى تلى كتاب  عقل,البقرة
2,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,واستعينوا بالصبر والصلاه  لكبيره الخاشعين استعان صبر والصلاه  كبير خاشع,البقرة
2,46,الَّذِينَ يَظُنُّونَ أَنَّهُمْ مُلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,يظنون ملاقو ربهم راجعون ظن ملاق رب راجع,البقرة
2,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,بني اسرائيل اذكروا نعمتي انعمت فضلتكم العالمين بن اسرائيل ذكر نعم انعمت فضل عالم,البقرة
2,48,وَاتَّقُوا يَوْمًا لَا تَجْزِي نَفْسٌ عَنْ نَفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنْصَرُونَ,واتقوا يوما تجزي شيئا يقبل شفاعه يؤخذ عدل ينصرون اتقى يوم أجزى شيء قبل شفاع أخذ عدل نصر,البقرة
2,49,وَإِذْ نَجَّيْنَاكُمْ مِنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ,نجيناكم فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم  بلاء ربكم عظيم نجى فرعون سام سوء عذاب ذبح ابناءكم استحيا نساء  بلاء رب عظيم,البقرة
2,50,وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنْجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنْتُمْ تَنْظُرُونَ,فرقنا البحر فانجيناكم واغرقنا فرعون تنظرون فرق بحر فانجيناكم واغرقنا فرعون نظر,البقرة
2,51,وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِهِ وَأَنْتُمْ ظَالِمُونَ,واعدنا موسي اتخذتم العجل ظالمون عدا موسي اتخذ عجل ظالم,البقرة
2,52,ثُمَّ عَفَوْنَا عَنْكُمْ مِنْ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,عفونا تشكرون عفو شكر,البقرة
2,53,وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,اتينا موسي الكتاب والفرقان تهتدون اتينا موسي كتاب فرق اهتدى,البقرة
2,54,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنْفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَكُمْ عِنْدَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,قال موسي لقومه قوم ظلمتم باتخاذكم العجل فتوبوا بارئكم فاقتلوا خير بارئكم فتاب  التواب الرحيم قال موسي قوم قوم ظلم اتخاذ عجل تاب بارئ قتل خير بارئ تاب  تواب رحيم,البقرة
2,55,وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَنْ نُؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنْتُمْ تَنْظُرُونَ,قلتم موسي نؤمن نري الله جهره فاخذتكم الصاعقه تنظرون قال موسي أمن وري الله جهر فاخذ الصاعقه نظر,البقرة
2,56,ثُمَّ بَعَثْنَاكُمْ مِنْ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,بعثناكم موتكم تشكرون بعث موت شكر,البقرة
2,57,وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنْزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ ۖ كُلُوا مِنْ طَيِّبَاتِ مَا رَزَقْنَاكُمْ ۖ وَمَا ظَلَمُونَا وَلَٰكِنْ كَانُوا أَنْفُسَهُمْ يَظْلِمُونَ,وظللنا الغمام وانزلنا والسلوي  كلوا طيبات رزقناكم  ظلمونا كانوا يظلمون ظلل غمام وانزلنا سلو  أكل طيب رزق  ظلم كانو ظلم,البقرة
2,58,وَإِذْ قُلْنَا ادْخُلُوا هَٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَغْفِرْ لَكُمْ خَطَايَاكُمْ ۚ وَسَنَزِيدُ الْمُحْسِنِينَ,قلنا ادخلوا القريه فكلوا شئتم رغدا وادخلوا الباب سجدا وقولوا حطه نغفر خطاياكم  وسنزيد المحسنين قل دخل القريه أكل شاء رغد دخل باب سجد قال حاط غفر خطايا  زاد محسن,البقرة
2,59,فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنْزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ,فبدل ظلموا قولا قيل فانزلنا ظلموا رجزا السماء كانوا يفسقون بدل ظلم قول قال فانزلنا ظلم رجز سماء كانو فسق,البقرة
2,60,وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ ۖ فَانْفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا ۖ قَدْ عَلِمَ كُلُّ أُنَاسٍ مَشْرَبَهُمْ ۖ كُلُوا وَاشْرَبُوا مِنْ رِزْقِ اللَّهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ,استسقي موسي لقومه فقلنا اضرب بعصاك الحجر  فانفجرت اثنتا عينا  اناس مشربهم  كلوا واشربوا الله تعثوا الارض مفسدين استسقى موسي قوم قل ضرب عصا حجر  انفجر ثنت عي  اناس مشرب  أكل شرب الله عث الارض مفسد,البقرة
2,61,وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَنْ نَصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنْبِتُ الْأَرْضُ مِنْ بَقْلِهَا وَقِثَّائِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا ۖ قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَىٰ بِالَّذِي هُوَ خَيْرٌ ۚ اهْبِطُوا مِصْرًا فَإِنَّ لَكُمْ مَا سَأَلْتُمْ ۗ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاءُوا بِغَضَبٍ مِنَ اللَّهِ ۗ ذَٰلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ ۗ ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ,قلتم موسي نصبر طعام فادع ربك يخرج تنبت الارض بقلها وقثائها وفومها وعدسها وبصلها  قال اتستبدلون ادني خير  اهبطوا مصرا سالتم  وضربت الذله والمسكنه وباءوا بغضب الله  كانوا يكفرون بايات الله ويقتلون النبيين الحق  عصوا وكانوا يعتدون قال موسي صبر طعام فادع رب خرج نبت الارض بقل قثاء فوم عدس بصل  قال اتستبدلون دنا خير  هبط مصر سالتم  ضرب الذله والمسكنه وباءوا غضب الله  كانو كفر باي الله قتل نبي حق  عص كانو عتد,البقرة
2,62,إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنَّصَارَىٰ وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,امنوا هادوا والنصاري والصابئين بالله واليوم الاخر وعمل صالحا اجرهم ربهم خوف يحزنون منا هاد نصار صابئ الله يوم الاخر عمل صالح اجرهم رب خوف حزن,البقرة
